GENERATIONS,MAX,AVR,MEDIAN,DIVERSITY
187,14124,14046.96,14124,99.91
188,14124,14037.33,14124,99.83
189,14124,14050.17,14124,99.73
190,14124,14018.07,14124,99.63
191,14124,14085.48,14124,99.75
192,14124,14091.9,14124,99.83
193,14124,14066.22,14124,99.77
194,14124,13998.81,14124,99.73
195,14124,13867.2,14124,99.85
196,14124,13995.6,14124,99.87
197,14124,13950.66,14124,99.93
198,14124,14008.44,14124,99.89
199,14124,14021.28,14124,99.89
200,14124,14050.17,14124,99.91
201,14124,14002.02,14124,99.97
202,14124,13941.03,14124,99.79
203,14124,13995.6,14124,99.91
204,14124,14018.07,14124,99.89
205,14124,14027.7,14124,99.91
206,14124,13915.35,14124,99.87
207,14124,14053.38,14124,99.83
208,14124,13921.77,14124,99.87
209,14124,13992.39,14124,99.83
210,14124,13937.82,14124,99.87
211,14124,14011.65,14124,99.81
212,14124,13998.81,14124,99.83
213,14124,13937.82,14124,99.79
214,14124,14021.28,14124,99.69
215,14124,13941.03,14124,99.77
216,14124,14053.38,14124,99.83
217,14124,14053.38,14124,99.93
218,14124,14030.91,14124,99.87
219,14124,13998.81,14124,99.81
220,14124,14021.28,14124,99.89
221,14124,13979.55,14124,99.79
222,14124,13889.67,14124,99.77
223,14124,14008.44,14124,99.61
224,14124,14043.75,14124,99.25
225,14124,13835.1,14124,99.81
226,14124,14079.06,14124,99.65
227,14124,14002.02,14124,99.61
228,14124,13921.77,14124,99.53
229,14124,14008.44,14124,99.63
230,14124,13995.6,14124,99.53
231,14124,13979.55,14124,99.55
232,14124,14079.06,14124,99.49
233,14124,13989.18,14124,99.59
234,14124,14021.28,14124,99.67
235,14124,13918.56,14124,99.23
236,14124,13889.67,14124,99.47
237,14124,13960.29,14124,99.45
238,14124,14046.96,14124,99.15
239,14124,14059.8,14124,99.27
240,14124,13944.24,14124,99.19
241,14124,14024.49,14124,99.09
242,14124,14018.07,14124,99.41
243,14124,13851.15,14124,99.49
244,14124,13876.83,14124,99.37
245,14124,13979.55,14124,99.53
246,14124,14027.7,14124,99.41
247,14124,14037.33,14124,99.71
248,14124,13960.29,14124,99.55
249,14124,14030.91,14124,99.55
250,14124,13992.39,14124,99.57
251,14124,13969.92,14124,99.63
252,14124,14075.85,14124,99.57
253,14124,14053.38,14124,99.69
254,14124,13931.4,14124,99.71
255,14124,14066.22,14124,99.79
256,14124,13880.04,14124,99.77
257,14124,13950.66,14124,99.65
258,14124,13892.88,14124,99.63
259,14124,14005.23,14124,99.75
260,14124,13966.71,14124,99.65
261,14124,13937.82,14124,99.81
262,14124,13790.16,14124,99.91
263,14124,14002.02,14124,99.71
264,14124,14002.02,14124,99.45
265,14124,14050.17,14124,99.71
266,14124,14014.86,14124,99.43
267,14124,14098.32,14124,99.53
268,14124,14040.54,14124,99.47
269,14124,13969.92,14124,99.69
270,14124,13880.04,14124,99.39
271,14124,13976.34,14124,99.47
272,14124,14021.28,14124,99.61
273,14124,14095.11,14124,99.77
274,14124,14085.48,14124,99.75
275,14124,14050.17,14124,99.73
276,14124,14043.75,14124,99.63
277,14124,14011.65,14124,99.77
278,14124,13995.6,14124,99.83
279,14124,14059.8,14124,99.77
280,14124,14018.07,14124,99.77
281,14124,13924.98,14124,99.69
282,14124,13957.08,14124,99.89
283,14124,13889.67,14124,99.75
284,14124,14018.07,14124,99.79
285,14124,13989.18,14124,99.85
286,14124,13950.66,14124,99.85
287,14124,13905.72,14124,99.91
288,14124,13841.52,14124,99.79
289,14124,13998.81,14124,99.89
290,14124,13963.5,14124,99.77
291,14124,13950.66,14124,99.71
292,14124,13844.73,14124,99.79
293,14124,13886.46,14124,99.81
294,14124,13844.73,14124,99.79
295,14124,13995.6,14124,99.73
296,14124,14046.96,14124,99.71
297,14124,14095.11,14124,99.85
298,14124,14075.85,14124,99.75
299,14124,14005.23,14124,99.87
300,14124,13995.6,14124,99.67
301,14124,14063.01,14124,99.79
302,14124,13963.5,14124,99.79
303,14124,13995.6,14124,99.77
304,14124,13957.08,14124,99.75
305,14124,14037.33,14124,99.79
306,14124,13905.72,14124,99.85
307,14124,13883.25,14124,99.83
308,14124,13966.71,14124,99.79
309,14124,14046.96,14124,99.83
310,14124,14008.44,14124,99.91
311,14124,13989.18,14124,99.81
312,14124,14056.59,14124,99.65
313,14124,14079.06,14124,99.65
314,14124,14027.7,14124,99.67
315,14124,14066.22,14124,99.83
316,14124,14027.7,14124,99.89
317,14124,14008.44,14124,99.83
318,14124,14043.75,14124,99.71
319,14124,14043.75,14124,99.83
320,14124,14005.23,14124,99.79
321,14124,14037.33,14124,99.77
322,14124,13985.97,14124,99.87
323,14124,14085.48,14124,99.83
324,14124,14088.69,14124,99.79
325,14124,14040.54,14124,99.81
326,14124,14027.7,14124,99.87
327,14124,14059.8,14124,99.91
328,14124,14063.01,14124,99.95
329,14124,14053.38,14124,99.95
330,14124,14069.43,14124,99.89
331,14124,13953.87,14124,99.85
332,14124,14008.44,14124,99.91
333,14124,13992.39,14124,99.79
334,14124,13982.76,14124,99.91
335,14124,14002.02,14124,99.87
336,14124,14040.54,14124,99.91
337,14124,14050.17,14124,99.91
338,14124,13957.08,14124,99.93
339,14124,13921.77,14124,99.75
340,14124,13941.03,14124,99.75
341,14124,13960.29,14124,99.85
342,14124,14059.8,14124,99.89
343,14124,13989.18,14124,99.89
344,14124,14040.54,14124,99.81
345,14124,14056.59,14124,99.93
346,14124,13976.34,14124,99.85
347,14124,13982.76,14124,99.77
348,14124,14075.85,14124,99.93
349,14124,14059.8,14124,100.0
350,14124,14104.74,14124,99.87
351,14124,13886.46,14124,99.73
352,14124,13979.55,14124,99.75
353,14124,13915.35,14124,99.79
354,14124,14050.17,14124,99.89
355,14124,14079.06,14124,99.67
356,14124,14079.06,14124,99.61
357,14124,13941.03,14124,99.83
358,14124,14021.28,14124,99.67
359,14124,14063.01,14124,99.71
360,14124,14091.9,14124,99.89
361,14124,14069.43,14124,99.91
362,14124,14069.43,14124,99.91
363,14124,14024.49,14124,99.85
364,14124,13969.92,14124,99.95
365,14124,13944.24,14124,99.93
366,14124,14053.38,14124,99.95
367,14124,13963.5,14124,99.87
368,14124,13973.13,14124,99.87
369,14124,14053.38,14124,99.87
370,14124,14018.07,14124,99.93
371,14124,14011.65,14124,99.89
372,14124,13825.47,14124,99.89
373,14124,13957.08,14124,99.85
374,14124,14072.64,14124,99.69
375,14124,14069.43,14124,99.89
376,14124,14024.49,14124,99.89
377,14124,14053.38,14124,99.91
378,14124,13995.6,14124,99.93
379,14124,14002.02,14124,99.87
380,14124,13950.66,14124,99.83
381,14124,13989.18,14124,99.79
382,14124,14018.07,14124,99.81
